Id,Date,Weekday,Calories
1503960366,3/12/2016,Saturday,2228
1503960366,3/13/2016,Sunday,2100
1503960366,3/14/2016,Monday,1830
1503960366,3/15/2016,Tuesday,2111
1503960366,3/16/2016,Wednesday,1967
1503960366,3/17/2016,Thursday,2039
1503960366,3/18/2016,Friday,2002
1503960366,3/19/2016,Saturday,2057
1503960366,3/20/2016,Sunday,2096
1503960366,3/21/2016,Monday,1846
1503960366,3/22/2016,Tuesday,2014
1503960366,3/23/2016,Wednesday,1966
1503960366,3/24/2016,Thursday,1991
1503960366,3/25/2016,Friday,1819
1503960366,3/26/2016,Saturday,2154
1503960366,3/27/2016,Sunday,1943
1503960366,3/28/2016,Monday,1931
1503960366,3/29/2016,Tuesday,1887
1503960366,3/30/2016,Wednesday,1819
1503960366,3/31/2016,Thursday,1890
1503960366,4/1/2016,Friday,1865
1503960366,4/2/2016,Saturday,1844
1503960366,4/3/2016,Sunday,1851
1503960366,4/4/2016,Monday,2037
1503960366,4/5/2016,Tuesday,2081
1503960366,4/6/2016,Wednesday,1859
1503960366,4/7/2016,Thursday,1753
1503960366,4/8/2016,Friday,1893
1503960366,4/9/2016,Saturday,1884
1503960366,4/10/2016,Sunday,1757
1503960366,4/11/2016,Monday,1810
1624580081,3/12/2016,Saturday,0
1624580081,3/13/2016,Sunday,0
1624580081,3/14/2016,Monday,0
1624580081,3/15/2016,Tuesday,0
1624580081,3/16/2016,Wednesday,0
1624580081,3/17/2016,Thursday,0
1624580081,3/18/2016,Friday,0
1624580081,3/19/2016,Saturday,0
1624580081,3/20/2016,Sunday,0
1624580081,3/21/2016,Monday,0
1624580081,3/22/2016,Tuesday,0
1624580081,3/23/2016,Wednesday,0
1624580081,3/24/2016,Thursday,1267
1624580081,3/25/2016,Friday,1375
1624580081,3/26/2016,Saturday,1266
1624580081,3/27/2016,Sunday,1353
1624580081,3/28/2016,Monday,1344
1624580081,3/29/2016,Tuesday,1302
1624580081,3/30/2016,Wednesday,1313
1624580081,3/31/2016,Thursday,1499
1624580081,4/1/2016,Friday,1544
1624580081,4/2/2016,Saturday,1331
1624580081,4/3/2016,Sunday,1453
1624580081,4/4/2016,Monday,1577
1624580081,4/5/2016,Tuesday,1310
1624580081,4/6/2016,Wednesday,1278
1624580081,4/7/2016,Thursday,1282
1624580081,4/8/2016,Friday,1411
1624580081,4/9/2016,Saturday,1372
1624580081,4/10/2016,Sunday,1554
1624580081,4/11/2016,Monday,1470
1624580081,4/12/2016,Tuesday,1433
1644430081,3/12/2016,Saturday,3753
1644430081,3/13/2016,Sunday,2831
1644430081,3/14/2016,Monday,2584
1644430081,3/15/2016,Tuesday,3247
1644430081,3/16/2016,Wednesday,3486
1644430081,3/17/2016,Thursday,2851
1644430081,3/18/2016,Friday,2459
1644430081,3/19/2016,Saturday,2628
1644430081,3/20/2016,Sunday,2945
1644430081,3/21/2016,Monday,2881
1644430081,3/22/2016,Tuesday,3492
1644430081,3/23/2016,Wednesday,3699
1644430081,3/24/2016,Thursday,2923
1644430081,3/25/2016,Friday,2360
1644430081,3/26/2016,Saturday,2253
1644430081,3/27/2016,Sunday,2748
1644430081,3/28/2016,Monday,2889
1644430081,3/29/2016,Tuesday,3198
1644430081,3/30/2016,Wednesday,3132
1644430081,3/31/2016,Thursday,3211
1644430081,4/1/2016,Friday,3319
1644430081,4/2/2016,Saturday,4028
1644430081,4/3/2016,Sunday,3434
1644430081,4/4/2016,Monday,2442
1644430081,4/5/2016,Tuesday,3093
1644430081,4/6/2016,Wednesday,2924
1644430081,4/7/2016,Thursday,3200
1644430081,4/8/2016,Friday,2924
1644430081,4/9/2016,Saturday,3286
1644430081,4/10/2016,Sunday,487
1844505072,3/12/2016,Saturday,1344
1844505072,3/13/2016,Sunday,1344
1844505072,3/14/2016,Monday,1344
1844505072,3/15/2016,Tuesday,1344
1844505072,3/16/2016,Wednesday,1344
1844505072,3/17/2016,Thursday,1344
1844505072,3/18/2016,Friday,1344
1844505072,3/19/2016,Saturday,1344
1844505072,3/20/2016,Sunday,1344
1844505072,3/21/2016,Monday,1344
1844505072,3/22/2016,Tuesday,1344
1844505072,3/23/2016,Wednesday,1344
1844505072,3/24/2016,Thursday,1344
1844505072,3/25/2016,Friday,1344
